From;To;Resources;tc_min;tc_max;c_exch_network
DE;SE;H2;0;60;1.037
DE;PL;H2;0;60;1.037
DE;CZ;H2;0;60;1.037
DE;AT;H2;0;60;1.037
DE;CH;H2;0;60;1.037
DE;FR;H2;0;60;1.037
DK;BE;H2;0;60;1.037
DK;NL;H2;0;60;1.037
DK;SE;H2;0;60;1.037
DK;DE;H2;0;60;1.037
SE;DK;H2;0;60;1.037
SE;FI;H2;0;60;1.037
SE;EE;H2;0;60;1.037
SE;LV;H2;0;60;1.037
SE;LT;H2;0;60;1.037
SE;PL;H2;0;60;1.037
FI;SE;H2;0;60;1.037
FI;EE;H2;0;60;1.037
EE;FI;H2;0;60;1.037
EE;SE;H2;0;60;1.037
EE;LV;H2;0;60;1.037
LV;SE;H2;0;60;1.037
LV;EE;H2;0;60;1.037
LV;LT;H2;0;60;1.037
LT;SE;H2;0;60;1.037
LT;LV;H2;0;60;1.037
LT;PL;H2;0;60;1.037
PL;DE;H2;0;60;1.037
PL;SE;H2;0;60;1.037
PL;LT;H2;0;60;1.037
PL;SK;H2;0;60;1.037
PL;CZ;H2;0;60;1.037
CH;FR;H2;0;60;1.037
CH;DE;H2;0;60;1.037
CH;AT;H2;0;60;1.037
CH;IT;H2;0;60;1.037
IT;FR;H2;0;60;1.037
IT;CH;H2;0;60;1.037
IT;AT;H2;0;60;1.037
IT;SI;H2;0;60;1.037
IT;HR;H2;0;60;1.037
IT;GR;H2;0;60;1.037
CZ;DE;H2;0;60;1.037
CZ;PL;H2;0;60;1.037
CZ;SK;H2;0;60;1.037
CZ;AT;H2;0;60;1.037
AT;IT;H2;0;60;1.037
AT;CH;H2;0;60;1.037
AT;DE;H2;0;60;1.037
AT;CZ;H2;0;60;1.037
AT;SK;H2;0;60;1.037
AT;HU;H2;0;60;1.037
AT;SI;H2;0;60;1.037
SI;IT;H2;0;60;1.037
SI;AT;H2;0;60;1.037
SI;HU;H2;0;60;1.037
SI;HR;H2;0;60;1.037
SK;AT;H2;0;60;1.037
SK;CZ;H2;0;60;1.037
SK;PL;H2;0;60;1.037
SK;RO;H2;0;60;1.037
SK;HU;H2;0;60;1.037
HU;AT;H2;0;60;1.037
HU;SK;H2;0;60;1.037
HU;RO;H2;0;60;1.037
HU;HR;H2;0;60;1.037
HU;SI;H2;0;60;1.037
HR;IT;H2;0;60;1.037
HR;SI;H2;0;60;1.037
HR;HU;H2;0;60;1.037
HR;GR;H2;0;60;1.037
RO;SK;H2;0;60;1.037
RO;HU;H2;0;60;1.037
RO;BG;H2;0;60;1.037
BG;RO;H2;0;60;1.037
BG;GR;H2;0;60;1.037
GR;IT;H2;0;60;1.037
GR;HR;H2;0;60;1.037
GR;BG;H2;0;60;1.037
